
2.6.32-pe
	8613 1
	8614 1
	8625 1
	8832 1
	9016 1
	9511 1

2.6.36-pe
	0 0
	8314 1
	8315 1
	8337 3
	8338 2
	8349 4
	8360 3
	8361 8
	8372 10
	8383 13
	8384 9
	8395 22
	8406 15
	8407 9
	8418 40
	8429 28
	8430 20
	8441 42
	8452 25
	8453 27
	8464 55
	8475 31
	8476 38
	8487 74
	8498 38
	8499 29
	8510 76
	8521 39
	8522 23
	8533 55
	8544 20
	8545 28
	8556 39
	8567 18
	8568 21
	8579 30
	8590 14
	8591 12
	8602 21
	8613 7
	8614 11
	8625 12
	8636 5
	8637 5
	8648 6
	8659 4
	8660 3
	8671 7
	8682 3
	8683 1
	8694 2
	8728 1
	8729 2
	8740 1
	8763 2
	8774 1
	8775 1
	8786 1
	8797 1
	8867 1
	8924 1
	8947 1
	9131 1
	9970 1

2.6.37-pe
	0 0
	9143 1
	9165 1
	9166 1
	9177 8
	9188 1
	9189 3
	9200 4
