
2.6.32-pe
	0 0
	8625 1
	8682 2
	8683 4
	8705 1
	8706 2
	8717 2
	8728 2
	8729 3
	8740 17
	8751 5
	8752 10
	8763 24
	8774 9
	8775 10
	8786 29
	8797 33
	8798 18
	8809 37
	8820 11
	8821 23
	8832 72
	8843 19
	8844 24
	8855 55
	8866 29
	8867 33
	8878 45
	8889 21
	8890 22
	8901 49
	8912 29
	8913 16
	8924 33
	8935 21
	8936 17
	8947 34
	8958 18
	8959 15
	8970 29
	8981 10
	8982 21
	8993 20
	9004 9
	9005 11
	9016 18
	9027 8
	9028 10
	9039 9
	9050 4
	9051 1
	9062 4
	9073 2
	9074 3
	9085 3
	9096 1
	9097 2
	9108 10
	9119 2
	9120 3
	9131 3
	9142 2
	9143 4
	9154 4
	9165 1
	9166 1
	9177 3
	9188 1
	9189 2
	9200 1
	9211 2
	9223 1
	9234 1
	9246 2
	9257 1
	9281 1
	9292 1
	9315 3
	9326 1
	9338 1
	9373 1
	9395 1
	9396 1
	9407 1
	9418 1
	9419 1
	9441 1
	9442 1
	9545 1
	9591 1
	9683 1
	13282 1
	156147 1

2.6.33-pe
	0 0
	8223 1
	8280 1
	8292 1
	8303 1
	8314 1
	8326 2
	8337 10
	8338 6
	8349 12
	8360 3
	8361 5
	8372 13
	8383 13
	8384 12
	8395 24
	8406 15
	8407 20
	8418 42
	8429 18
	8430 23
	8441 45
	8452 36
	8453 24
	8464 56
	8475 23
	8476 35
	8487 58
	8498 31
	8499 30
	8510 57
	8521 27
	8522 23
	8533 37
	8544 22
	8545 18
	8556 41
	8567 10
	8568 10
	8579 23
	8590 3
	8591 6
	8602 15
	8613 5
	8614 7
	8625 8
	8636 2
	8637 5
	8648 5
	8659 4
	8660 1
	8671 9
	8683 4
	8694 5
	8705 2
	8706 1
	8717 6
	8728 4
	8729 1
	8740 7
	8751 6
	8752 1
	8763 4
	8774 7
	8775 3
	8786 5
	8797 4
	8798 4
	8809 7
	8820 4
	8821 2
	8832 6
	8843 2
	8844 2
	8855 4
	8867 1
	8878 6
	8889 1
	8890 1
	8901 4
	8912 1
	8913 1
	8924 2
	8958 1
	8970 2
	8981 1
	9016 1
	9074 1
	9096 1
	9464 1
	9465 1
	9614 1
	9706 1
	9717 1
	14559 1
	43482 1
	153421 1
	166635 1
	192383 1

2.6.34-pe
	0 0
	10074 1
	10109 1
	10132 3
	10143 1
	10154 5
	10155 3
	10166 14
	10177 7
	10178 7
	10189 16
	10200 12
	10201 6
	10212 19
	10223 11
	10224 9
	10235 32
	10246 13
	10247 13
	10258 38
	10269 20
	10270 24
	10281 46
	10292 21
	10293 14
	10304 43
	10315 35
	10316 19
	10327 45
	10338 26
	10339 13
	10350 32
	10361 13
	10362 14
	10373 37
	10384 9
	10385 9
	10396 19
	10407 9
	10408 8
	10419 16
	10430 6
	10431 6
	10442 9
	10453 7
	10454 4
	10465 12
	10476 4
	10477 3
	10488 11
	10499 11
	10500 9
	10511 13
	10522 4
	10523 11
	10534 26
	10545 13
	10546 9
	10557 15
	10568 13
	10569 5
	10580 13
	10591 6
	10592 8
	10603 18
	10614 7
	10615 8
	10626 13
	10637 4
	10638 5
	10649 13
	10660 4
	10661 4
	10672 7
	10683 4
	10684 1
	10695 2
	10706 1
	10707 1
	10718 3
	10730 3
	10741 2
	10752 2
	10753 1
	10764 1
	10787 3
	10821 1
	10833 3
	10867 1
	10913 1
